fecha,turno,loteria,primero,segundo,tercero
2025-10-19,NOCHE,Nacional Nocturna,02,44,09
2025-10-20,MEDIODIA,LotoReal,22,23,04
2025-10-20,TARDE,GanaMas,91,32,50
2025-10-20,NOCHE,Nacional Nocturna,57,83,49
2025-10-21,MEDIODIA,LotoReal,62,87,32
2025-10-21,TARDE,GanaMas,61,68,29
2025-10-21,NOCHE,Nacional Nocturna,21,33,71
2025-10-22,MEDIODIA,LotoReal,57,05,41
2025-10-22,TARDE,GanaMas,57,52,61
2025-10-22,NOCHE,Nacional Nocturna,85,65,64
2025-10-23,MEDIODIA,LotoReal,48,76,87
2025-10-23,TARDE,GanaMas,51,42,14
2025-10-23,NOCHE,Nacional Nocturna,41,74,82
2025-10-24,MEDIODIA,LotoReal,12,41,73
2025-10-24,TARDE,GanaMas,52,31,43
2025-10-24,NOCHE,Nacional Nocturna,19,45,91
2025-10-25,MEDIODIA,LotoReal,03,76,58
2025-10-25,TARDE,GanaMas,88,88,32
2025-10-25,NOCHE,Nacional Nocturna,01,16,88
2025-10-26,MEDIODIA,LotoReal,92,30,12
2025-10-26,TARDE,GanaMas,47,15,45
2025-10-26,NOCHE,Nacional Nocturna,79,48,59
2025-10-27,MEDIODIA,LotoReal,78,08,41
2025-10-27,TARDE,GanaMas,15,73,59
2025-10-27,NOCHE,Nacional Nocturna,72,50,03
2025-10-28,MEDIODIA,LotoReal,22,66,45
2025-10-28,TARDE,GanaMas,26,45,16
2025-10-28,NOCHE,Nacional Nocturna,73,81,13
2025-10-29,MEDIODIA,LotoReal,12,01,02
2025-10-29,TARDE,GanaMas,83,72,31
2025-10-29,NOCHE,Nacional Nocturna,52,56,87
2025-10-30,MEDIODIA,LotoReal,78,82,34
2025-10-30,TARDE,GanaMas,52,59,71
2025-10-30,NOCHE,Nacional Nocturna,23,54,53
2025-11-01,MEDIODIA,LotoReal,85,63,60
2025-11-01,TARDE,GanaMas,57,32,04
2025-11-01,NOCHE,Nacional Nocturna,76,71,21
2025-11-02,MEDIODIA,LotoReal,88,85,76
2025-11-02,TARDE,GanaMas,51,63,88
2025-11-02,NOCHE,Nacional Nocturna,02,44,16
2025-11-03,MEDIODIA,LotoReal,22,23,30
2025-11-03,TARDE,GanaMas,91,32,15
2025-11-03,NOCHE,Nacional Nocturna,57,83,82
2025-11-04,MEDIODIA,LotoReal,62,87,08
2025-11-04,TARDE,GanaMas,61,68,73
2025-11-04,NOCHE,Nacional Nocturna,21,33,11
2025-11-05,MEDIODIA,LotoReal,57,05,66
2025-11-05,TARDE,GanaMas,57,52,45
2025-11-05,NOCHE,Nacional Nocturna,85,65,81
2025-11-06,MEDIODIA,LotoReal,48,76,01
2025-11-06,TARDE,GanaMas,51,42,72
2025-11-06,NOCHE,Nacional Nocturna,41,74,56
2025-11-07,MEDIODIA,LotoReal,12,41,82
2025-11-07,TARDE,GanaMas,52,31,59
2025-11-07,NOCHE,Nacional Nocturna,19,45,44
2025-11-08,MEDIODIA,LotoReal,03,76,63
2025-11-08,TARDE,GanaMas,88,88,32
2025-11-08,NOCHE,Nacional Nocturna,01,16,71
2025-11-09,MEDIODIA,LotoReal,92,30,85
2025-11-09,TARDE,GanaMas,47,15,41
2025-11-09,NOCHE,Nacional Nocturna,79,48,43
2025-11-10,MEDIODIA,LotoReal,78,08,23
2025-11-10,TARDE,GanaMas,15,73,32
2025-11-10,NOCHE,Nacional Nocturna,72,50,83
2025-11-11,MEDIODIA,LotoReal,22,66,87
2025-11-11,TARDE,GanaMas,26,45,68
2025-11-11,NOCHE,Nacional Nocturna,73,81,33
2025-11-12,MEDIODIA,LotoReal,12,01,05
2025-11-12,TARDE,GanaMas,83,72,52
2025-11-12,NOCHE,Nacional Nocturna,52,56,21
2025-11-13,MEDIODIA,LotoReal,78,82,48
2025-11-13,TARDE,GanaMas,52,59,15
2025-11-13,NOCHE,Nacional Nocturna,23,54,92
2025-11-14,MEDIODIA,LotoReal,85,63,19
2025-11-14,TARDE,GanaMas,57,32,88
2025-11-14,NOCHE,Nacional Nocturna,76,71,01
2025-11-15,MEDIODIA,LotoReal,88,85,63
2025-11-15,TARDE,GanaMas,51,63,26
2025-11-15,NOCHE,Nacional Nocturna,02,44,79
2025-11-16,MEDIODIA,LotoReal,22,23,12
2025-11-16,TARDE,GanaMas,91,32,83
2025-11-16,NOCHE,Nacional Nocturna,57,83,52
2025-11-17,MEDIODIA,LotoReal,62,87,14
2025-11-17,TARDE,GanaMas,61,68,09
2025-11-17,NOCHE,Nacional Nocturna,21,33,12
2025-11-18,MEDIODIA,LotoReal,57,05,88
2025-11-18,TARDE,GanaMas,57,52,21
2025-11-18,NOCHE,Nacional Nocturna,85,65,57
2025-11-19,MEDIODIA,LotoReal,48,76,51
2025-11-19,TARDE,GanaMas,51,42,63
2025-11-19,NOCHE,Nacional Nocturna,41,74,88
2025-11-20,MEDIODIA,LotoReal,12,41,22
2025-11-20,TARDE,GanaMas,52,31,91
2025-11-20,NOCHE,Nacional Nocturna,19,45,57
2025-11-21,MEDIODIA,LotoReal,03,76,61
2025-11-21,TARDE,GanaMas,88,88,62
2025-11-21,NOCHE,Nacional Nocturna,01,16,21
2025-11-22,MEDIODIA,LotoReal,92,30,57
2025-11-22,TARDE,GanaMas,47,15,85
2025-11-22,NOCHE,Nacional Nocturna,79,48,48
2025-11-23,MEDIODIA,LotoReal,78,08,51
2025-11-23,TARDE,GanaMas,15,73,41
2025-11-23,NOCHE,Nacional Nocturna,72,50,05
2025-11-24,MEDIODIA,LotoReal,22,66,74
2025-11-24,TARDE,GanaMas,26,45,19
2025-11-24,NOCHE,Nacional Nocturna,73,81,11
2025-11-25,MEDIODIA,LotoReal,12,01,60
2025-11-25,TARDE,GanaMas,83,72,52
2025-11-25,NOCHE,Nacional Nocturna,52,56,19
2025-11-26,MEDIODIA,LotoReal,78,82,03
2025-11-26,TARDE,GanaMas,52,59,92
2025-11-26,NOCHE,Nacional Nocturna,23,54,01
2025-11-27,MEDIODIA,LotoReal,85,63,78
2025-11-27,TARDE,GanaMas,57,32,47
2025-11-27,NOCHE,Nacional Nocturna,76,71,79
2025-11-28,MEDIODIA,LotoReal,88,85,78
2025-11-28,TARDE,GanaMas,51,63,15
2025-11-28,NOCHE,Nacional Nocturna,02,44,72
2025-11-29,MEDIODIA,LotoReal,22,23,22
2025-11-29,TARDE,GanaMas,91,32,26
2025-11-29,NOCHE,Nacional Nocturna,57,83,73
2025-11-30,MEDIODIA,LotoReal,62,87,12
2025-11-30,TARDE,GanaMas,61,68,83
2025-11-30,NOCHE,Nacional Nocturna,21,33,52
2025-12-01,MEDIODIA,LotoReal,57,05,78
2025-12-01,TARDE,GanaMas,57,52,52
2025-12-01,NOCHE,Nacional Nocturna,85,65,23
2025-12-02,MEDIODIA,LotoReal,48,76,85
2025-12-02,TARDE,GanaMas,51,42,57
2025-12-02,NOCHE,Nacional Nocturna,41,74,76
2025-12-03,MEDIODIA,LotoReal,12,41,88
2025-12-03,TARDE,GanaMas,52,31,51
2025-12-03,NOCHE,Nacional Nocturna,19,45,02
2025-12-04,MEDIODIA,LotoReal,03,76,22
2025-12-04,TARDE,GanaMas,88,88,91
2025-12-04,NOCHE,Nacional Nocturna,01,16,57
2025-12-05,MEDIODIA,LotoReal,92,30,62
2025-12-05,TARDE,GanaMas,47,15,61
2025-12-05,NOCHE,Nacional Nocturna,79,48,21
2025-12-06,MEDIODIA,LotoReal,78,08,57
2025-12-06,TARDE,GanaMas,15,73,57
2025-12-06,NOCHE,Nacional Nocturna,72,50,85
2025-12-07,MEDIODIA,LotoReal,22,66,48
2025-12-07,TARDE,GanaMas,26,45,51
2025-12-07,NOCHE,Nacional Nocturna,73,81,41
2025-12-08,MEDIODIA,LotoReal,12,01,12
2025-12-08,TARDE,GanaMas,83,72,88
2025-12-08,NOCHE,Nacional Nocturna,52,56,01
2025-12-09,MEDIODIA,LotoReal,78,82,63
2025-12-09,TARDE,GanaMas,52,59,26
2025-12-09,NOCHE,Nacional Nocturna,23,54,79
2025-12-10,MEDIODIA,LotoReal,85,63,22
2025-12-10,TARDE,GanaMas,57,32,91
2025-12-10,NOCHE,Nacional Nocturna,76,71,57
2025-12-11,MEDIODIA,LotoReal,88,85,62
2025-12-11,TARDE,GanaMas,51,63,47
2025-12-11,NOCHE,Nacional Nocturna,02,44,19
2025-12-12,MEDIODIA,LotoReal,22,23,78
2025-12-12,TARDE,GanaMas,91,32,15
2025-12-12,NOCHE,Nacional Nocturna,57,83,72
2025-12-13,MEDIODIA,LotoReal,62,87,88
2025-12-13,TARDE,GanaMas,61,68,51
2025-12-13,NOCHE,Nacional Nocturna,21,33,02
2025-12-14,MEDIODIA,LotoReal,57,05,22
2025-12-14,TARDE,GanaMas,57,52,88
2025-12-14,NOCHE,Nacional Nocturna,85,65,01
2025-12-15,MEDIODIA,LotoReal,48,76,92
2025-12-15,TARDE,GanaMas,51,42,47
2025-12-15,NOCHE,Nacional Nocturna,41,74,79
2025-12-16,MEDIODIA,LotoReal,12,41,78
2025-12-16,TARDE,GanaMas,52,31,52
2025-12-16,NOCHE,Nacional Nocturna,19,45,23
2025-12-17,MEDIODIA,LotoReal,03,76,62
2025-12-17,TARDE,GanaMas,88,88,61
2025-12-17,NOCHE,Nacional Nocturna,01,16,57
2025-12-18,MEDIODIA,LotoReal,92,30,78
2025-12-18,TARDE,GanaMas,47,15,52
2025-12-18,NOCHE,Nacional Nocturna,79,48,21
2025-12-19,MEDIODIA,LotoReal,78,08,22
2025-12-19,TARDE,GanaMas,15,73,91
2025-12-19,NOCHE,Nacional Nocturna,72,50,57
2025-12-20,MEDIODIA,LotoReal,22,66,62
2025-12-20,TARDE,GanaMas,26,45,61
2025-12-20,NOCHE,Nacional Nocturna,73,81,21
2025-12-21,MEDIODIA,LotoReal,12,01,78
2025-12-21,TARDE,GanaMas,83,72,15
2025-12-21,NOCHE,Nacional Nocturna,52,56,72
2025-12-22,MEDIODIA,LotoReal,78,82,22
2025-12-22,TARDE,GanaMas,52,59,91
2025-12-22,NOCHE,Nacional Nocturna,23,54,57
2025-12-23,MEDIODIA,LotoReal,85,63,62
2025-12-23,TARDE,GanaMas,57,32,61
2025-12-23,NOCHE,Nacional Nocturna,76,71,21
2025-12-24,MEDIODIA,LotoReal,88,85,78
2025-12-24,TARDE,GanaMas,51,63,57
2025-12-24,NOCHE,Nacional Nocturna,02,44,85
2025-12-25,MEDIODIA,LotoReal,22,23,48
2025-12-25,TARDE,GanaMas,91,32,51
2025-12-25,NOCHE,Nacional Nocturna,57,83,41
2025-12-26,MEDIODIA,LotoReal,62,87,12
2025-12-26,TARDE,GanaMas,61,68,83
2025-12-26,NOCHE,Nacional Nocturna,21,33,52
2025-12-27,MEDIODIA,LotoReal,57,05,78
2025-12-27,TARDE,GanaMas,57,52,52
2025-12-27,NOCHE,Nacional Nocturna,85,65,23
2025-12-28,MEDIODIA,LotoReal,48,76,85
2025-12-28,TARDE,GanaMas,51,42,57
2025-12-28,NOCHE,Nacional Nocturna,41,74,76
2025-12-29,MEDIODIA,LotoReal,12,41,88
2025-12-29,TARDE,GanaMas,52,31,51
2025-12-29,NOCHE,Nacional Nocturna,19,45,02
2025-12-30,MEDIODIA,LotoReal,03,76,22
2025-12-30,TARDE,GanaMas,88,88,91
2025-12-30,NOCHE,Nacional Nocturna,01,16,57
2025-12-31,MEDIODIA,LotoReal,92,30,62
2025-12-31,TARDE,GanaMas,47,15,61
2025-12-31,NOCHE,Nacional Nocturna,79,48,21
2026-01-01,MEDIODIA,LotoReal,78,08,57
2026-01-01,TARDE,GanaMas,15,73,57
2026-01-01,NOCHE,Nacional Nocturna,72,50,85
2026-01-02,MEDIODIA,LotoReal,22,66,48
2026-01-02,TARDE,GanaMas,26,45,51
2026-01-02,NOCHE,Nacional Nocturna,73,81,41
2026-01-03,MEDIODIA,LotoReal,12,01,12
2026-01-03,TARDE,GanaMas,83,72,88
2026-01-03,NOCHE,Nacional Nocturna,52,56,01
2026-01-04,MEDIODIA,LotoReal,78,82,63
2026-01-04,TARDE,GanaMas,52,59,26
2026-01-04,NOCHE,Nacional Nocturna,23,54,79
2026-01-05,MEDIODIA,LotoReal,85,63,22
2026-01-05,TARDE,GanaMas,57,32,91
2026-01-05,NOCHE,Nacional Nocturna,76,71,57
2026-01-06,MEDIODIA,LotoReal,88,85,62
2026-01-06,TARDE,GanaMas,51,63,47
2026-01-06,NOCHE,Nacional Nocturna,02,44,19
2026-01-07,MEDIODIA,LotoReal,22,23,78
2026-01-07,TARDE,GanaMas,91,32,15
2026-01-07,NOCHE,Nacional Nocturna,57,83,72
2026-01-08,MEDIODIA,LotoReal,62,87,88
2026-01-08,TARDE,GanaMas,61,68,51
2026-01-08,NOCHE,Nacional Nocturna,21,33,02
2026-01-09,MEDIODIA,LotoReal,57,05,22
2026-01-09,TARDE,GanaMas,57,52,88
2026-01-09,NOCHE,Nacional Nocturna,85,65,01
2026-01-10,MEDIODIA,LotoReal,48,76,92
2026-01-10,TARDE,GanaMas,51,42,47
2026-01-10,NOCHE,Nacional Nocturna,41,74,79
2026-01-11,MEDIODIA,LotoReal,12,41,78
2026-01-11,TARDE,GanaMas,52,31,52
2026-01-11,NOCHE,Nacional Nocturna,19,45,23
2026-01-12,MEDIODIA,LotoReal,03,76,62
2026-01-12,TARDE,GanaMas,88,88,61
2026-01-12,NOCHE,Nacional Nocturna,01,16,57
2026-01-13,MEDIODIA,LotoReal,92,30,78
2026-01-13,TARDE,GanaMas,47,15,52
2026-01-13,NOCHE,Nacional Nocturna,79,48,21
2026-01-14,MEDIODIA,LotoReal,78,08,22
2026-01-14,TARDE,GanaMas,15,73,91
2026-01-14,NOCHE,Nacional Nocturna,72,50,57
2026-01-15,MEDIODIA,LotoReal,51,69,22
2026-01-15,TARDE,GanaMas,92,14,54
2026-01-15,NOCHE,Nacional Nocturna,14,53,79
2026-01-16,MEDIODIA,LotoReal,71,59,94
2026-01-16,TARDE,GanaMas,60,96,74
2026-01-16,NOCHE,Nacional Nocturna,20,07,15
2026-01-17,MEDIODIA,LotoReal,82,52,07
2026-01-17,TARDE,GanaMas,86,59,03
2026-01-17,NOCHE,Nacional Nocturna,74,04,03
2026-01-18,MEDIODIA,LotoReal,74,67,55
2026-01-18,TARDE,GanaMas,23,54,09
2026-01-18,NOCHE,Nacional Nocturna,04,50,49
2026-01-19,MEDIODIA,LotoReal,32,29,71
2026-01-19,TARDE,GanaMas,89,61,64
2026-01-19,NOCHE,Nacional Nocturna,76,21,12
2026-01-20,MEDIODIA,LotoReal,41,61,87
2026-01-20,TARDE,GanaMas,16,14,54
2026-01-20,NOCHE,Nacional Nocturna,61,42,82
2026-01-21,MEDIODIA,LotoReal,67,73,81
2026-01-21,TARDE,GanaMas,21,43,43
2026-01-21,NOCHE,Nacional Nocturna,05,53,91
2026-01-22,MEDIODIA,LotoReal,58,41,91
2026-01-22,TARDE,GanaMas,59,32,88
2026-01-22,NOCHE,Nacional Nocturna,20,53,12
2026-01-23,MEDIODIA,LotoReal,85,48,48
2026-01-23,TARDE,GanaMas,26,45,41
2026-01-23,NOCHE,Nacional Nocturna,63,91,59
2026-01-24,MEDIODIA,LotoReal,12,79,15
2026-01-24,TARDE,GanaMas,26,26,71
2026-01-24,NOCHE,Nacional Nocturna,82,74,74
2026-01-25,MEDIODIA,LotoReal,38,63,95
2026-01-25,TARDE,GanaMas,70,11,12
2026-01-25,NOCHE,Nacional Nocturna,06,94,78
2026-01-26,MEDIODIA,LotoReal,65,52,49
2026-01-26,TARDE,GanaMas,92,37,81
2026-01-26,NOCHE,Nacional Nocturna,13,85,20
2026-01-27,MEDIODIA,LotoReal,40,76,34
2026-01-27,TARDE,GanaMas,87,19,65
2026-01-27,NOCHE,Nacional Nocturna,54,08,93
2026-01-28,MEDIODIA,LotoReal,21,43,07
2026-01-28,TARDE,GanaMas,79,95,58
2026-01-28,NOCHE,Nacional Nocturna,36,61,22
2026-01-29,MEDIODIA,LotoReal,98,27,80
2026-01-29,TARDE,GanaMas,14,50,16
2026-01-29,NOCHE,Nacional Nocturna,63,89,74
2026-01-30,MEDIODIA,LotoReal,57,04,11
2026-01-30,TARDE,GanaMas,09,36,48
2026-01-30,NOCHE,Nacional Nocturna,82,72,59
2026-01-31,MEDIODIA,LotoReal,45,18,92
2026-01-31,TARDE,GanaMas,71,63,30
2026-01-31,NOCHE,Nacional Nocturna,26,95,67
2026-02-01,MEDIODIA,LotoReal,89,41,03
2026-02-01,TARDE,GanaMas,52,78,14
2026-02-01,NOCHE,Nacional Nocturna,33,65,90
2026-02-02,MEDIODIA,LotoReal,14,09,76
2026-02-02,TARDE,GanaMas,60,82,21
2026-02-02,NOCHE,Nacional Nocturna,95,37,48
2026-02-03,MEDIODIA,LotoReal,71,53,67
2026-02-03,TARDE,GanaMas,26,11,89
2026-02-03,NOCHE,Nacional Nocturna,04,40,55
2026-02-04,MEDIODIA,LotoReal,45,92,18
2026-02-04,TARDE,GanaMas,83,63,09
2026-02-04,NOCHE,Nacional Nocturna,57,74,31
2026-02-05,MEDIODIA,LotoReal,23,55,12
2026-02-05,TARDE,GanaMas,79,15,47
2026-02-05,NOCHE,Nacional Nocturna,68,48,80
2026-02-06,MEDIODIA,LotoReal,61,91,33
2026-02-06,TARDE,GanaMas,05,53,44
2026-02-06,NOCHE,Nacional Nocturna,12,64,28
2026-02-07,MEDIODIA,LotoReal,88,41,50
2026-02-07,TARDE,GanaMas,57,52,07
2026-02-07,NOCHE,Nacional Nocturna,21,62,43
2026-02-08,MEDIODIA,LotoReal,48,76,31
2026-02-08,TARDE,GanaMas,15,00,04
2026-02-08,NOCHE,Nacional Nocturna,92,42,85
2026-02-09,MEDIODIA,LotoReal,19,45,23
2026-02-09,TARDE,GanaMas,88,88,59
2026-02-09,NOCHE,Nacional Nocturna,01,16,11
2026-02-10,MEDIODIA,LotoReal,63,91,74
2026-02-10,TARDE,GanaMas,26,45,08
2026-02-10,NOCHE,Nacional Nocturna,79,48,52
2026-02-11,MEDIODIA,LotoReal,12,01,82
2026-02-11,TARDE,GanaMas,83,72,56
2026-02-11,NOCHE,Nacional Nocturna,52,56,45
2026-02-12,MEDIODIA,LotoReal,78,82,15
2026-02-12,TARDE,GanaMas,52,59,26
2026-02-12,NOCHE,Nacional Nocturna,23,54,74
2026-02-13,MEDIODIA,LotoReal,85,63,74
2026-02-13,TARDE,GanaMas,57,32,67
2026-02-13,NOCHE,Nacional Nocturna,76,71,55
2026-02-14,MEDIODIA,LotoReal,88,85,23
2026-02-14,TARDE,GanaMas,51,63,54
2026-02-14,NOCHE,Nacional Nocturna,02,44,09
2026-02-15,MEDIODIA,LotoReal,22,23,04
2026-02-15,TARDE,GanaMas,91,32,50
2026-02-15,NOCHE,Nacional Nocturna,57,83,49
2026-02-16,MEDIODIA,LotoReal,62,87,32
2026-02-16,TARDE,GanaMas,61,68,29
2026-02-16,NOCHE,Nacional Nocturna,21,33,71
2026-02-17,MEDIODIA,LotoReal,57,05,41
2026-02-17,TARDE,GanaMas,57,52,61
2026-02-17,NOCHE,Nacional Nocturna,85,65,64
2026-02-18,MEDIODIA,LotoReal,48,76,87
2026-02-18,TARDE,GanaMas,51,42,14
2026-02-18,NOCHE,Nacional Nocturna,41,74,82
2026-02-19,MEDIODIA,LotoReal,12,41,73
2026-02-19,TARDE,GanaMas,52,31,43
2026-02-19,NOCHE,Nacional Nocturna,19,45,91
2026-02-20,MEDIODIA,LotoReal,03,76,58
2026-02-20,TARDE,GanaMas,88,88,32
2026-02-20,NOCHE,Nacional Nocturna,01,16,88
2026-02-21,MEDIODIA,LotoReal,92,30,12
2026-02-21,TARDE,GanaMas,47,15,45
2026-02-21,NOCHE,Nacional Nocturna,79,48,59
2026-02-22,MEDIODIA,LotoReal,78,08,41
2026-02-22,TARDE,GanaMas,15,73,59
2026-02-22,NOCHE,Nacional Nocturna,72,50,03
2026-02-23,MEDIODIA,LotoReal,22,66,45
2026-02-23,TARDE,GanaMas,26,45,16
2026-02-23,NOCHE,Nacional Nocturna,73,81,13
2026-02-24,MEDIODIA,LotoReal,12,01,02
2026-02-24,TARDE,GanaMas,83,72,31
2026-02-24,NOCHE,Nacional Nocturna,52,56,87
2026-02-25,MEDIODIA,LotoReal,78,82,34
2026-02-25,TARDE,GanaMas,52,59,71
2026-02-25,NOCHE,Nacional Nocturna,23,54,53
2026-02-26,MEDIODIA,LotoReal,85,63,60
2026-02-26,TARDE,GanaMas,57,32,04
2026-02-26,NOCHE,Nacional Nocturna,76,71,21
2026-02-27,MEDIODIA,LotoReal,88,85,76
2026-02-27,TARDE,GanaMas,51,63,88
2026-02-27,NOCHE,Nacional Nocturna,02,44,16
2026-02-28,MEDIODIA,LotoReal,22,23,30
2026-02-28,TARDE,GanaMas,91,32,15
2026-02-28,NOCHE,Nacional Nocturna,57,83,82
2026-03-01,MEDIODIA,LotoReal,62,87,08
2026-03-01,TARDE,GanaMas,61,68,73
2026-03-01,NOCHE,Nacional Nocturna,21,33,11
2026-03-02,MEDIODIA,LotoReal,57,05,66
2026-03-02,TARDE,GanaMas,57,52,45
2026-03-02,NOCHE,Nacional Nocturna,85,65,81
2026-03-03,MEDIODIA,LotoReal,48,76,01
2026-03-03,TARDE,GanaMas,51,42,72
2026-03-03,NOCHE,Nacional Nocturna,41,74,56
2026-03-04,MEDIODIA,LotoReal,12,41,82
2026-03-04,TARDE,GanaMas,52,31,59
2026-03-04,NOCHE,Nacional Nocturna,19,45,44
2026-03-05,MEDIODIA,LotoReal,03,76,63
2026-03-05,TARDE,GanaMas,88,88,32
2026-03-05,NOCHE,Nacional Nocturna,01,16,71
2026-03-06,MEDIODIA,LotoReal,92,30,85
2026-03-06,TARDE,GanaMas,47,15,41
2026-03-06,NOCHE,Nacional Nocturna,79,48,43
2026-03-07,MEDIODIA,LotoReal,78,08,23
2026-03-07,TARDE,GanaMas,15,73,32
2026-03-07,NOCHE,Nacional Nocturna,72,50,83
2026-03-08,MEDIODIA,LotoReal,22,66,87
2026-03-08,TARDE,GanaMas,26,45,68
2026-03-08,NOCHE,Nacional Nocturna,73,81,33
